Topic,Count,Name,Representation,Representative_Docs
9,4164,9_open_opening_calls_look forward,"['open', 'opening', 'calls', 'look forward', 'closing', 'begin', 'address', 'come', 'great', 'discussion']","[""With that, I'll now turn it over to the operator to open the call up for questions"", ""With that, I'll open the call up to Q&amp;A."", ""Thank you for joining us this afternoon, and we'll now turn it over to the operator to open up for Q&amp;A.""]"
10,3554,10_shareholders_stock_share_company,"['shareholders', 'stock', 'share', 'company', 'market', '15 million', 'capital', '25 million', 'cash flow', 'purchase']","['During the quarter we repurchased 120 million shares or $4.1 billion of Company stock and paid out over $1 billion in dividends to shareholders.', 'Back then you could have bought the stock for about $3 a share.', 'Management recommended and the board authorized us to begin purchasing up to a million shares of our stock under a share buyback program.']"
11,2991,11_cash flow_income_adjusted_million quarter,"['cash flow', 'income', 'adjusted', 'million quarter', '12 million', 'increased', '10 million', 'revenue', 'increase', 'cash']","['For the quarter, adjusted EBITDA was $0.2 million, or 0.3% of revenue.', 'Adjusted EBITDA was $63 million.', 'Our adjusted EBITDA was $8.2 million.']"
12,2778,12_credit_portfolio_balance sheet_assets,"['credit', 'portfolio', 'balance sheet', 'assets', 'equity', 'asset', 'investment', 'risk', 'balance', 'consistent']","['The credit quality of our portfolio remains stable.', 'They are upscaling their credit.', ""There's been seasonal credit improvement in the portfolio.""]"
13,2556,13_revenue growth_revenues_revenue_profit,"['revenue growth', 'revenues', 'revenue', 'profit', 'sales', 'income', 'expense', 'costs', 'increased', 'increase']","[""Reviewing the fourth-quarter results for the Company's Mobile Modular division, compared to the fourth quarter of 2011, total revenues increased $0.4 million or 1% to $30.6 million, primarily due to higher sales and rental-related services revenues, partly offset by lower rental revenues."", 'Mobile Modular total revenues increased $6 million or 9% to $74.9 million on higher rental and rental-related services revenues, which were partly offset by lower sales revenues.', 'In addition to higher rental revenues, our electronics business also benefitted from higher gross profit on equipment sales and lower depreciation and laboratory costs as a percentage of rental revenues from a year ago.']"
14,2551,14_conference_partners_investor_investors,"['conference', 'partners', 'investor', 'investors', 'meeting', 'corporate', 'announce', 'presentation', 'management', 'discussion']","['I would now like to turn the conference over to Jennifer Almquist, Investor Relations.', 'I would now like to turn the conference over to James Dwyer, Vice President of Investor Relations.', 'I would now like to turn the conference over to our host, Senior Director of Investor Relations, Ms. Carol DeGuzman.']"
15,2268,15_sales_increases_increase_increased,"['sales', 'increases', 'increase', 'increased', 'revenues', 'growth', 'revenue', 'strong growth', 'markets', 'net']","['Excluding the impact of foreign currency translation, North America net sales grew 4% and other international net sales grew 8.6% for the quarter.', 'Net sales increased 3.6%.', 'Net sales increased 7.5%.']"
16,2225,16_market share_gains_gain_sales,"['market share', 'gains', 'gain', 'sales', 'market', 'profitable', 'retail', 'growth', 'increased', 'growth rate']","['Hershey fourth-quarter retail takeaway of 3.8% was greater than the category growth of 2.2%, resulting in a market share gain of 0.5 points.', 'The chocolate category in Brazil is up about 8% to 9% in 2013, and Hershey retail takeaway is about double the category growth rate resulting in a 0.3 point market share gain.', 'As a result, in Q4, drug category growth was 3.8% with Hershey retail take-away up 9.4% for a 1.2-point market share gain in drug.']"
17,2057,17_tax_quarter compared_fiscal year_fiscal,"['tax', 'quarter compared', 'fiscal year', 'fiscal', 'rates', 'quarter', 'percent', 'approximately', 'effective', 'rate']","['This quarter our effective tax rate was approximately 19%.', ""The quarter's effective tax rate of 30.7% compared with 2005's rate of 3%."", 'Excluding the discrete tax item, our effective tax rate for the quarter was 25% and we now expect the full-year tax rate to be approximately 24%.']"
18,2004,18_earnings_quarter results_financial results_quarter 2018,"['earnings', 'quarter results', 'financial results', 'quarter 2018', 'second quarter', 'quarter 2008', 'quarter 2009', 'quarterly', 'quarter 2006', 'quarter 2019']","['Good morning and welcome to our second-quarter earnings conference call.', 'Good morning, and welcome to our second quarter earnings conference call.', 'Good morning, ladies and gentlemen, welcome to the Novamerican Steel Inc. second-quarter earnings conference call.']"
19,1864,19_marketing_market share_success_successful,"['marketing', 'market share', 'success', 'successful', 'recorded', 'selling', 'release', 'business', 'record', 'production']","['Our recorded music business outperformed the market this quarter, gaining market share in the US as the industry continued to exhibit a number of positive signs.', 'Among our Recorded Music bestsellers were K-Pop girl group, Twice; the global sensation of The Greatest Showman soundtrack; rock band, Panic!', 'In another milestone, it was recently noted by the trade publication Music &amp; Copyright that Warner Music overtook EMI to become the third largest Recorded Music business by global market share in 2006, another testament of the success of our A&amp;R efforts and ongoing business strategy.']"
20,1837,20_morning_happy_good_great,"['morning', 'happy', 'good', 'great', 'positive', '', '', '', '', '']","['Thank you, Kevin, and good morning to everyone.', 'Thanks, Andrew, and good morning, everybody.', 'Thank you, Russ and good morning, everyone.']"
21,1784,21_spending_expense_fiscal year_15 million,"['spending', 'expense', 'fiscal year', '15 million', '12 million', '25 million', 'approximately million', 'spend', 'fiscal', '10 million']","['Our total capital expenditures for the quarter were $7.4 million.', 'We expect full year capital expenditures to be between $205 million and $215 million.', 'During the year, we had capital expenditures of approximately $69.2 million.']"
22,1764,22_case_ongoing_decision_issued,"['case', 'ongoing', 'decision', 'issued', 'held', 'regarding', 'agreement', 'action', 'state', 'previously']","['But there are no patents at issue in that case, and that Virginia case has been reduced to an attorneys fees motion that Samsung made.', 'One of those cases, the Micron/RICO racketeering case was enjoined, or rather, Micron was enjoined from pursuing that case.', 'That case also has pending against it our motion to dismiss.']"
23,1592,23_projects_project_infrastructure_revenue,"['projects', 'project', 'infrastructure', 'revenue', 'industry', 'including', 'opportunities', 'market', 'company', 'billion']","['The majority of our $90 million of capital revenues were generated by: Our dredge New York and clam shell dredges continuing work on our deepening projects in Newark Bay, Port Jersey and Boston; continuing work on our Columbia River deeping project on the West Coast with our hopper dredge Liberty Island; work on a Louisiana coastal restoration project with our hydraulic dredge Alaska; and finally three projects in Bahrain; Dubai, [Dirare] and [Jaramarana].', 'We expect some of these projects to be funded by the $340 million that has already been allocated from BP for restoration projects.', 'We worked on three port deepening projects during the quarter.']"
24,1556,24_payment_payments_transactions_transaction,"['payment', 'payments', 'transactions', 'transaction', 'pay', 'cash', 'financial', 'agreements', 'businesses', 'customer']","['And finally, as further evidence of the significance of our digital integrated payments cloud, during the quarter, we launched an agreement with SIBS, the national payment switch in Portugal, to provide Sony products to more than 12,000 ATMs connected to their switch.', 'Finally, in India, we signed an agreement to process mobile top-up, bill payment and other recurring payments through Amazon Pay.', 'Interac Debit is one of the most popular payment methods in Canada, and our collaboration on the token service provider solution with Interac will allow millions of consumers to enjoy secure mobile payments using Android Pay in Canada.']"
25,1527,25_year quarter_quarter year_year increase_quarter 2007,"['year quarter', 'quarter year', 'year increase', 'quarter 2007', 'percentage', 'compared year', 'percent', 'quarter', 'fourth quarter', 'quarter quarter']","['That is down from the previous quarter of 8.6%, and also down from about 8.7% a year ago.', 'That number for the quarter was 7.1% versus 8.3% in the previous quarter and 8.2% a year ago.', ""That's up from 8.6% in the second quarter and up from 8.8% a year ago.""]"
26,1517,26_sales_marketing_markets_strong growth,"['sales', 'marketing', 'markets', 'strong growth', 'increase', 'store', 'performance', 'brand', 'category', 'successful']","['The engagement jewelry category rose nicely, and band ring sales were very strong due to the success of Celebration rings.', 'We continue to be encouraged with growth in our Engagement Jewelry category consisting of diamond rings and wedding bands where sales rose 8% in the quarter.', 'The strongest sales growth continued to be in the statement, fine, and solitaire jewelry category, which incorporates jewelry with gemstones at mid to higher price points.']"
27,1449,27_revenue growth_businesses_strong growth_business,"['revenue growth', 'businesses', 'strong growth', 'business', 'revenue', 'customers', 'growth', 'retail', 'accounting', 'customer']","['Within QuickBooks Online, self-employed subscribers grew to approximately 390,000.', ""We're encouraged by the accelerating momentum in small business, including a continued strength in both our QuickBooks Online subscribers and online ecosystem revenue growth."", 'This includes Turbo Tax Online, our online banking, small business accounting, online payroll, and Intuit website offerings.']"
28,1431,28_power_energy_project_building,"['power', 'energy', 'project', 'building', 'projects', 'built', 'build', 'technology', 'development', 'developed']","[""The new Power Take-Off design, or PTO, is lighter weight, it's less expensive and we believe more durable."", 'This project is expected to be off the coast of Victoria, providing enough energy to power up to 10,000 homes.', 'As already mentioned, this year, we received a $2 million award from the US Department of Energy in support of our wave power project in Reedsport, Oregon, which also is in collaboration with PNGC Power.']"
29,1427,29_customers_experience_platform_customer,"['customers', 'experience', 'platform', 'customer', 'application', 'marketing', 'businesses', 'management', 'companies', 'services']","[""At Summit, we announced the global availability of Adobe Experience Platform, the industry's first real-time platform for customer experience management."", ""Q3 highlights include: increased adoption of Adobe Experience Platform and the launch of new capabilities that allow marketers to accelerate data collection across channels to enable faster personalized experiences based on real-time insights; general availability of data governance capabilities in the Real-Time Customer Data Platform; early traction with our Customer Journey Analytics service, which provides customers a complete view of the customer journey, online and off-line; acceleration in the deployment of our Adobe Experience Manager Cloud Service; significant quarter-over-quarter growth for Commerce offerings; working with our Advertising Cloud customers to wind down our transaction-based offerings, key customer wins included Eli Lilly, Truist, Nike, Lowe's, Shell, Lloyds and the U.S. Department of Commerce; a partnership with IBM and Red Hat to enable Experience Cloud deployment in hybrid cloud environments that further strengthens real-time data security for enterprises in regulated industries; and recognition as a leader in 6 Gartner Magic Quadrant and Forrester Wave reports."", 'Yesterday, we announced the new Adobe Digital Enterprise Platform, a unified solution for Customer Experience Management, and a suite of Adobe Customer Experience Solutions to power engaging digital experiences across multiple communication channels.']"
30,1383,30_income_earnings_revenues_revenue,"['income', 'earnings', 'revenues', 'revenue', 'profit', 'quarter year', 'fiscal', 'year quarter', 'million quarter', 'increase']","['First quarter operating income for U.S.', 'Third quarter operating income of our U.S.', 'Operating income in the third quarter was $6.5 million, up 74% from $3.7 million.']"
31,1225,31_rates_rate_costs_cost,"['rates', 'rate', 'costs', 'cost', 'case', 'increases', 'increase', 'higher', 'corporate', 'efficiency']","['First, the PNM rate case at FERC is moving along.', ""Some of you have inquired about PNM's next rate case."", 'You also are aware that we filed a FERC transmission rate case asking for about $7.5 million to $8 million.']"
32,1219,32_dollar_dollars_exchange_rates,"['dollar', 'dollars', 'exchange', 'rates', 'earnings', 'european', 'revenue growth', 'decrease', 'pricing', 'international']","['And the impact from the change in the dollar to pound exchange rate.', 'The impact of foreign exchange rates was minimal for the quarter.', 'Foreign currency exchange rates also had a positive impact on sales, as the dollar weakened compared to the Euro and some other currencies.']"
33,1191,33_demand_products_benefits_product,"['demand', 'products', 'benefits', 'product', 'markets', 'market', 'production', 'supply', 'manufacturing', 'industry']","[""In other countries in Latin America, we continue to see strong demand for FMC's product, including selective herbicides in Argentina and products for non row crops in Columbia and Mexico."", 'Lithium continued to see strong demand for its specialty products including lithium hydroxide, Butyl lithium and high-purity metals.', 'We saw strong demand for Rynaxypyr insect control applications for specialty crops as well as Battle Delta herbicide for cereals, particularly in France and Germany.']"
34,1081,34_store_retail_new york_china,"['store', 'retail', 'new york', 'china', 'north america', 'york', 'europe', 'company', 'markets', 'closed']","['Two of these stores are located in New Orleans and the other store is located in southern Florida.', ""We also opened our 15th store in Korea in the Shinsegae Hanam department store and we opened our first store in New Zealand in Auckland's magnificent Britomart precinct."", 'During the quarter, we were delighted to open another store in Italy, our third store in Milan and located at the Duomo.']"
35,1041,35_income_quarter compared_loss_million quarter,"['income', 'quarter compared', 'loss', 'million quarter', 'quarter fiscal', 'year quarter', 'quarter 2008', 'quarter year', 'quarter 2009', 'quarter 2007']","['Net income for the quarter, $3.8 million.', 'The net income for the third quarter was $4.6 million as compared to a net loss of $3 million for the third quarter of last year.', 'Net loss for the third quarter totaled $9.4 million compared to net income of $6.7 million in 2007.']"
36,963,36_form_press release_10_issued,"['form', 'press release', '10', 'issued', 'press', '2010', 'release', '2009', '2008', 'fiscal']","['The Form 10-Q and a Form 8-K containing the press release were filed yesterday afternoon with the SEC.', 'We also filed our Form 10-Q.', 'The Form 10-Q was filed yesterday with the SEC.']"
37,942,37_delivering_customers_delivery_marketing,"['delivering', 'customers', 'delivery', 'marketing', 'deliver', 'customer', 'consumer', 'sales', 'initiatives', 'business']","[""Now let's talk about the rollout of delivery to the Panera system."", 'Next, we must smartly introduce the two biggest initiatives in our arsenal: Panera 2.0 and delivery.', 'As you know, Charlotte was the first full market in which we had both Panera 2.0 and delivery.']"
38,940,38_portfolio_earnings_assets_financial,"['portfolio', 'earnings', 'assets', 'financial', 'stock', 'asset', 'credit', 'risk', 'economy', 'transactions']","['As Tim mentioned, in the Farm &amp; Ranch portfolio, 90-day delinquencies were $36.7 million, or 0.67% of the Farm &amp; Ranch portfolio, as of September 30, 2015 compared to $31.9 million, or 58 basis points, as of June 30, 2015 and $24.7 million, or 46 basis points, in the year-ago quarter.', ""Reflecting the effectiveness of Farmer Mac's ongoing credit risk management and the strength of the U.S. agricultural economy, 90-day delinquencies in Farmer Mac's guaranteed portfolio remained at notably low levels as of December 31, 2007, in terms of both dollars and percentage."", ""As of March 31, 2017, Farmer Mac's substandard assets were $171.5 million or 2.7% of the Farm &amp; Ranch portfolio compared to $165.2 million or 2.7% of the Farm &amp; Ranch portfolio as of December 31, 2016.""]"
39,900,39_sales_product_profits_increase,"['sales', 'product', 'profits', 'increase', 'growth', 'market', 'million quarter', 'estimated', 'united states', 'million']","['We received approval for EYLEA in the United States in a second indication, macular edema, following central retinal vein occlusion.', 'Based on fourth-quarter sales, EYLEA is now the market-leading branded anti-VEGF therapy for the treatment of retinal diseases in the United States.', 'EYLEA net product sales in the United States grew 7% to $1.02 billion compared to $953 million in the third quarter of 2017.']"
40,888,40_15 million_12 million_10 million_year increase,"['15 million', '12 million', '10 million', 'year increase', 'approximately million', '100 million', 'million quarter', 'million', 'billion', 'million year']","['That’s up from $816 million in the previous quarter, and up from $550 million a year ago.', 'That compared to 1.3 million a year ago.', 'This was an increase of $1.6 million from the previous quarter, and an increase of $2.7 million from the quarter a year ago.']"
41,886,41_ahead_let_begin_finally,"['ahead', 'let', 'begin', 'finally', 'post', 'previously', '000', 'turn', 'fourth', '2004']","['Please go ahead, sir.', 'Please go ahead, sir.', 'Please go ahead, sir.']"
42,822,42_slide_10_seven_number,"['slide', '10', 'seven', 'number', '11', 'numbers', 'going', '12', 'want', 'turn']","['If you would please refer to Slide 2.', 'First slide is what we call ""the walk across.""', 'Please go to slide five.']"
43,819,43_profit_profits_revenues_revenue,"['profit', 'profits', 'revenues', 'revenue', 'sales', 'year quarter', 'million quarter', 'quarter year', 'quarter 2005', 'quarter fiscal']","['We also made a gross profit for the third consecutive quarter, as well as a gross profit on our contracts for the full nine months, as compared to a gross loss in the corresponding period of last year.', ""In terms of gross profit, we reported gross profit of $19.2 million, which is up $0.6 million from the gross profit reported in Q3 of '17."", 'Turning to gross profit for the first quarter gross profit increased 2.9 million or 13% to 24.6 million or 31.2% of net sales compared to gross profit of 21.7 million or 31.6% of net sales in the first quarter last year.']"
44,812,44_expenses_expense_million quarter_costs,"['expenses', 'expense', 'million quarter', 'costs', 'debt', 'quarter compared', 'quarter 2009', 'year quarter', 'quarter 2007', 'fiscal']","['Moving down the income statement -- interest expense was expectedly higher this quarter versus last, about $320,000 net expense -- interest expense -- that is due to the convertible financing we completed toward the end of the second quarter.', 'Further, there was an increase of about $1.3 million in residential mortgage expense during the quarter.', 'Interest expense for the quarter was $7.2 million.']"
45,805,45_balance sheet_cash flow_financial_balance,"['balance sheet', 'cash flow', 'financial', 'balance', 'debt', 'leverage', 'equity', 'sheet', 'assets', 'maintain']","['Since we emerged from bankruptcy Genesis has maintained a strong balance sheet.', 'We also have a very bulletproof balance sheet.', 'We have a strong balance sheet with lots of cash.']"
46,778,46_earnings_stock_25 million_average,"['earnings', 'stock', '25 million', 'average', 'share', 'end quarter', 'quarter compared', 'quarter 2005', 'quarter', 'billion']","['The weighted average shares outstanding were 130.1 million shares and we ended the quarter with 130.4 million shares outstanding.', 'The weighted average shares outstanding was 130 million shares and we ended the quarter at 130.4 million shares outstanding.', 'The average weighted shares outstanding was $129.8 million, and we ended the quarter with $130.2 million shares outstanding.']"
47,766,47_franchise_customers_company_business,"['franchise', 'customers', 'company', 'business', 'opening', 'open', 'markets', 'sales', 'owned', 'partners']","['We expect to open 8 to 9 new company owned restaurants in this quarter, of which 2 have already opened.', 'On the NRO front, we opened 1 new Company-owned restaurant and 1 franchise restaurant in the first quarter.', 'In the first quarter, we opened the first of 10 new Company-owned restaurants that we expect to open this year, and our franchisees opened 1 of the 3 to 4 new franchise restaurants expected to open in 2011.']"
48,749,48_conference_presentation_event_today,"['conference', 'presentation', 'event', 'today', 'work', 'begin', 'investor', 'good', '', '']","['I will be your conference operator today.', 'My name is Diane and I will be your conference operator today.', 'I will be your conference operator today.']"
49,676,49_revenues_sales_increases_increase,"['revenues', 'sales', 'increases', 'increase', 'franchise', 'company', 'increased', 'growth', 'store', 'higher']","['Increase in revenue is due to 25 company-owned and 84 franchise bakery-cafes that we opened since the second quarter of last year, as well as increased bakery- cafes sales of 6.7% for second quarter and higher average unit volumes of new bakery-cafes.', 'Our system-wide comparable Bakery-Cafe sales increased 2.1% in the quarter with 1.7% comps at company-owned locations and 2.3% at franchise-operated locations.', 'This was primarily the result of new Company-owned bakery-cafes, as well as growth in franchise royalties and sales of fresh dough and other product sales to our franchisees.']"
50,672,50_margin_adjusted_percentage_increased,"['margin', 'adjusted', 'percentage', 'increased', 'decline', 'recorded', 'revenue growth', 'lower', 'revenue', 'margins']","['Recorded music adjusted OIBDA declined 16% to $72 million and recorded music adjusted OIBDA margin was down 2 percentage points to 14%.', 'Recorded Music adjusted OIBDA grew by 24% to $77 million and adjusted OIBDA margin expanded by 2 percentage points to 13%.', 'Backing out these items, adjusted OIBDA for the quarter declined by 15% to $94 million, and adjusted OIBDA margin contracted by 3 percentage points to 12%.']"
51,665,51_financial results_impact_material_acquisitions,"['financial results', 'impact', 'material', 'acquisitions', 'restructuring', 'financial', 'earnings', 'effect', 'expect', 'agreements']","[""We don't expect the impact of any change or reclassification to be material."", ""The net financial impact resulting from these separate but interrelated processes does not generally have a material impact on the Company's results of operations."", 'Based on the proposed settlement terms, the company does not expect this matter to have a material impact on its operations or financial position or any impact on historical financials.']"
52,658,52_calls_look forward_note_pleased,"['calls', 'look forward', 'note', 'pleased', 'helping', 'today', 'coming', 'meet', 'happy', 'continuing']","['Thanks to everyone joining us on the call today.', 'And thank you all for joining us on the call today.', 'Thank you, [Rae], and thank you all for joining us on the call today.']"
53,644,53_financial results_comparable_earnings_metrics,"['financial results', 'comparable', 'earnings', 'metrics', 'financial', 'measure', 'expenses', 'revenue growth', 'press release', 'reflects']","['Reconciliations of these non-GAAP financial measures to their most directly comparable GAAP measures can be found in the financial tables included at the end of our press release.', 'A reconciliation of these non-GAAP financial measures to their most directly comparable GAAP measures can be found in the tables included at the end of our press release.', 'A reconciliation of these non-GAAP financial measures to their most directly comparable GAAP measures can be found in the financial tables included in our press release.']"
54,629,54_market_industry_sales_customers,"['market', 'industry', 'sales', 'customers', 'marketplace', 'consumer', 'brand', 'purchase', 'selling', 'economy']","[""But I -- to be really straight-up on this, there's a lot of unknowns that we're dealing with right now, how the vehicles are going to sell, the damage."", ""Under the leadership of Brian Skutta, our dealer sales and service team has been focusing on, first, aligning pricing with the value we've been delivering based upon our fully accountable business model; second, further enhancing our dealer acquisition strategy to strategically fill coverage gaps across the network; and third, rolling out a new strategy around independent dealers designed to grow our independent dealer base and increase used car inventory."", ""I think, a lot of customers or folks out there would rather buy used cars just because new cars have become so expensive, used cars are of good quality, they're certified new or whatever they call it and so.""]"
55,625,55_quarter year_year quarter_month_october,"['quarter year', 'year quarter', 'month', 'october', 'december', 'june', 'february', 'november', 'september', 'trend']","[""Last year's monthly trend was a 5% increase in February, a 3% decline in March, and a 3% increase in April."", ""Comps by period on this fiscal basis is 8.2% for the first 27 days of the 28-day October period and we're targeting three-quarters of a point to two and a quarter points of comp for November and 2.75% to 4.25% of comp for December."", ""As a point of reference, U.S. comps had increased 2% in last year's first quarter and the monthly trend had been negative 2% in February, positive 1% in March and positive 6% in April.""]"
56,610,56_billion_investment_million_funds,"['billion', 'investment', 'million', 'funds', 'quarters', 'total', 'quarter', 'net', 'equity', 'assets']","['And for the quarter, advisory net inflows were $2.8 billion.', 'We had net outflows of $5.8 billion in the quarter.', 'Client wrap assets were approximately $106 billion, with net inflows of $2.3 billion for the quarter.']"
57,581,57_new products_new product_product_products,"['new products', 'new product', 'product', 'products', 'market share', 'marketing', 'industry', 'market', 'introduced', 'sales']","['We have now launched our Ion product worldwide and we will be introducing additional new products, including our new Natura line, Natura Pro, beginning in the second quarter 2006.', 'We have now launched our Innova and Applause product families worldwide and we have new products including our exciting new open ear product, Ion, coming in the second quarter.', ""Seventy-four percent of the Danish subjects preferred Sonic's product over that of Auticon, another market leader.""]"
58,550,58_summer_new_offerings_traditional,"['summer', 'new', 'offerings', 'traditional', 'produce', 'introduced', 'make', 'improved', 'mix', 'exciting']","['During the summer we will introduce several new salads and re-introduce some perennial favorites.', ""This sandwich features our new higher-quality turkey, utilizing the sous vide cooking method that we've rolled out throughout the system."", 'We also introduced a new and improved not Napa almond chicken salad sandwich this summer.']"
59,536,59_managing_manage_costs_management,"['managing', 'manage', 'costs', 'management', 'strategic', 'maintain', 'maintaining', 'expenses', 'organization', 'business']","['Even during the transformation of our business, we continue to be focused on aggressively managing our industry leading cost structure, working to improve productivity and drive cost out of our business.', 'We continue to manage our cost structure and seek out ways to take costs out of the Business.', 'We continue to aggressively manage our cost structure in this business.']"
60,529,60_brand_market_consumer_products,"['brand', 'market', 'consumer', 'products', 'business', 'markets', 'company', 'successful', 'profitable', 'selling']","['Today the Avon brand has nearly 100% awareness in our top markets and is the #1 direct selling beauty company in the world.', 'First, to strengthen our brand value and improve the Avon brand equity on the vertical axis.', 'The Avon brand has greater than 90% brand recognition with 100% brand awareness in our key markets.']"
61,528,61_acquisitions_acquisition_acquired_companies,"['acquisitions', 'acquisition', 'acquired', 'companies', 'businesses', 'investments', 'markets', 'market', 'business', 'company']","['We continue to actively seek acquisitions that would be accretive within one year.', 'Last up is acquisitions.', 'Secondly, accretive acquisitions.']"
62,515,62_franchise_brand_team_members,"['franchise', 'brand', 'team', 'members', 'company', 'partners', 'delivering', 'support', 'improve', 'efforts']","['We attribute our traction versus competitors to relevant marketing programs, which are bringing guests into Red Robin to enjoy one of our 24 great burgers, to our great Team Members who delight our guests and make them eager to come back, to our Red Robin Royalty loyalty program, and to our brand transformation initiative.', 'So we are reinforcing the brand equities and great guest experience that have always been part of the Red Robin brand.', ""As always, I'd like to thank our great Red Robin team members for their hard work and dedication this last quarter as they continue to transform the Red Robin brand and greet our guests with a healthy dash of bottomless fun and a genuine spirit of service.""]"
